"Score","Sens","Sens_L","Sens_H","Spec","Spec_L","Spec_H","CAD_Pos_TB","CAD_Pos_Normal","Subgroup","AI","ppv","npv","CAD_Pos","XpertSaved","Comment","X","nnt"
1,1,0.99914408,1,0,0,0.00042975,1,1,"MDF","qXRv2",0.19,NA,1,0,"",1,5.26315789473684
2,1,0.99914408,1,0,0,0.00042975,1,1,"MDF","qXRv2",0.19,NA,1,0,"",1,5.26315789473684
3,1,0.99914408,1,0.00198089,0.00115435,0.00316971,1,0.998019109764624,"MDF","qXRv2",0.190305348909707,1,0.998395478909345,0.0016045210906549,"",0.99801911,5.25471304789474
4,0.99976787,0.99870736,0.99999412,0.01549755,0.01299146,0.01833993,0.999767873723305,0.984502446982055,"MDF","qXRv2",0.192379320727195,0.996498826771535,0.987402878062893,0.0125971219371072,"",0.98450245,5.19806388867574
5,0.99930362,0.99796625,0.99985637,0.04078303,0.03669678,0.04518466,0.999303621169916,0.959216965742251,"MDF","qXRv2",0.19638097031116,0.996010675389024,0.966833430273508,0.0331665697264925,"",0.95921697,5.0921430850226
6,0.99837512,0.996655,0.99934647,0.08051736,0.07484558,0.08647582,0.998375116063138,0.919482638079702,"MDF","qXRv2",0.202992952092613,0.995288606472862,0.934472208896555,0.0655277911034453,"",0.91948264,4.92627940867504
7,0.99791086,0.99603789,0.99904428,0.12036821,0.11355537,0.12743994,0.997910863509749,0.87963178746213,"MDF","qXRv2",0.210178529816741,0.995945289923023,0.902104811911178,0.0978951880888222,"",0.87963179,4.75785990544286
8,0.99535747,0.99283906,0.99716199,0.16441389,0.15662868,0.17242763,0.99535747446611,0.835586110463761,"MDF","qXRv2",0.218395427551148,0.99342012339443,0.865942669624208,0.134057330375792,"",0.83558611,4.57885044212201
9,0.99419684,0.99144524,0.99624109,0.20682825,0.19830138,0.2155546,0.994196843082637,0.793171754835703,"MDF","qXRv2",0.227213143318446,0.993461557093891,0.83136652160262,0.16863347839738,"",0.79317175,4.40115384785847
10,0.99303621,0.99007357,0.99529677,0.24446516,0.23540222,0.25370189,0.993036211699164,0.755534840363552,"MDF","qXRv2",0.235651657712561,0.993362492396197,0.800660100917318,0.199339899082682,"",0.75553484,4.24355173100358
11,0.99141133,0.9881809,0.99394578,0.27196458,0.26257074,0.28151346,0.991411327762303,0.728035422978327,"MDF","qXRv2",0.242094536572925,0.992646791252773,0.778076844887282,0.221923155112718,"",0.72803542,4.13061779152862
12,0.98792943,0.98420085,0.99097234,0.29888138,0.28920773,0.30869174,0.987929433611885,0.701118620368212,"MDF","qXRv2",0.248416415160397,0.99061568234082,0.75561267488451,0.24438732511549,"",0.70111862,4.02549887596728
13,0.98514392,0.98106823,0.98854071,0.32171988,0.31184031,0.33172061,0.985143918291551,0.678280121183873,"MDF","qXRv2",0.254115326024039,0.989284410236384,0.736584242634332,0.263415757365668,"",0.67828012,3.93522112832108
14,0.98328691,0.97899836,0.98690066,0.34444186,0.3343843,0.35460512,0.983286908077994,0.655558144954556,"MDF","qXRv2",0.260264124038223,0.988746327007088,0.717826609948009,0.282173390051991,"",0.65555814,3.84225065093158
15,0.98166202,0.97719718,0.98545545,0.36063855,0.35046974,0.37090205,0.981662024141133,0.639361454206479,"MDF","qXRv2",0.264787287824862,0.988213128528865,0.704398562494063,0.295601437505937,"",0.63936145,3.77661634821921
16,0.98026927,0.97565975,0.98421014,0.37601958,0.36575672,0.38636667,0.980269266480966,0.623980424143556,"MDF","qXRv2",0.269275425761317,0.98784126371245,0.691675304187664,0.308324695812336,"",0.62398042,3.71366973860581
17,0.97841226,0.97361804,0.98254142,0.3888371,0.3785043,0.39924543,0.978412256267409,0.611162899091121,"MDF","qXRv2",0.273002398737234,0.98714450517467,0.680940276954616,0.319059723045384,"",0.6111629,3.66297147799974
18,0.97655525,0.97158462,0.98086426,0.40235376,0.39195532,0.41281855,0.976555246053853,0.597646236308553,"MDF","qXRv2",0.277082892166805,0.986516259935549,0.66963894816016,0.33036105183984,"",0.59764624,3.60902830261349
19,0.97585887,0.97082403,0.98023336,0.41540433,0.40495029,0.42591585,0.97585886722377,0.584595665346073,"MDF","qXRv2",0.281382829144668,0.98655146726253,0.658935673702836,0.341064326297164,"",0.58459567,3.55387712547971
20,0.97516249,0.97006442,0.97960146,0.4274062,0.41690767,0.43795405,0.975162488393686,0.572593800978793,"MDF","qXRv2",0.285450706695934,0.986552058037486,0.649081851587623,0.350918148412377,"",0.5725938,3.50323182441869
21,0.97423398,0.96905309,0.97875743,0.43824283,0.42770955,0.44881808,0.974233983286908,0.561757166161734,"MDF","qXRv2",0.289167985891199,0.986396439322316,0.640127761415517,0.359872238584483,"",0.56175717,3.45819747963474
22,0.97284123,0.96753907,0.97748837,0.44744815,0.43688933,0.45804267,0.972841225626741,0.552551852714985,"MDF","qXRv2",0.292279944315251,0.985962289966152,0.632406833568218,0.367593166431782,"",0.55255185,3.42137741384475
23,0.97121634,0.96577692,0.97600355,0.45548823,0.4449101,0.4660966,0.971216341689879,0.544511768818457,"MDF","qXRv2",0.294973371034307,0.985393467880962,0.625585637664027,0.374414362335973,"",0.54451177,3.39013652823493
24,0.96912721,0.96351739,0.97408833,0.46329527,0.45270103,0.47391445,0.969127205199629,0.536704730831974,"MDF","qXRv2",0.297535277553194,0.984609573724616,0.618865000961828,0.381134999038172,"",0.53670473,3.36094599680274
25,0.96750232,0.96176433,0.97259431,0.47261711,0.46200703,0.48324578,0.967502321262767,0.527382894430203,"MDF","qXRv2",0.300857220139533,0.984126869411175,0.61100558552839,0.38899441447161,"",0.52738289,3.32383580336286
26,0.96587744,0.96001478,0.97109676,0.47914239,0.46852344,0.48977551,0.965877437325905,0.520857608948963,"MDF","qXRv2",0.303127295521258,0.983569504963904,0.605411376340582,0.394588623659418,"",0.52085761,3.29894408974421
27,0.96448468,0.95851777,0.9698105,0.48706595,0.47643864,0.49770205,0.964484679665738,0.512934048007457,"MDF","qXRv2",0.30606867262899,0.983183670772205,0.598728668022531,0.401271331977469,"",0.51293405,3.26724062090529
28,0.96402043,0.95801927,0.96938124,0.49557213,0.4849388,0.50620846,0.964020427112349,0.504427872290841,"MDF","qXRv2",0.309528923415293,0.983255049743061,0.591750457706928,0.408249542293072,"",0.50442787,3.23071585351753
29,0.96355617,0.95752103,0.96895172,0.50128175,0.49064611,0.51191653,0.96355617455896,0.498718247494756,"MDF","qXRv2",0.31186369933137,0.983232552732727,0.587037453636955,0.412962546363045,"",0.49871825,3.2065290129758
