"","TID"
"940","2010100971-8"
"941","2010100972-6"
"942","2010100973-4"
"943","2010100974-2"
"944","2010100975-9"
"945","2010100976-7"
"946","2010100977-5"
"947","2010100979-1"
"948","2010100980-9"
"949","2010100981-7"
"950","2010100982-5"
"951","2010100983-3"
"952","2010100984-1"
"953","2010100985-8"
"954","2010100986-6"
"955","2010100987-4"
"956","2010100988-2"
"957","2010100989-0"
"958","2010100990-8"
"959","2010100991-6"
"960","2010100993-2"
"961","2010100994-0"
"962","2010100995-7"
"963","2010100996-5"
"964","2010100997-3"
"965","2010100998-1"
"966","2010100999-9"
"967","2010101001-3"
"968","2010101003-9"
"969","2010101004-7"
"970","2010101005-4"
"971","2010101006-2"
"972","2010101007-0"
"973","2010101008-8"
"974","2010101009-6"
"975","2010101010-4"
"976","2010101011-2"
"977","2010101012-0"
"978","2010101013-8"
"979","2010101014-6"
"980","2010101015-3"
"981","2010101017-9"
"982","2010101018-7"
"983","2010101019-5"
"984","2010101020-3"
"985","2010101021-1"
"986","2010101022-9"
"987","2010101024-5"
"988","2010101025-2"
"989","2010101026-0"
"990","2010101027-8"
"991","2010101028-6"
"992","2010101030-2"
"993","2010101031-0"
"994","2010101033-6"
"995","2010101034-4"
"996","2010101035-1"
"997","2010101036-9"
"998","2010101037-7"
"999","2010101038-5"
"1000","2010101039-3"
"1001","20101010399-6"
"1002","2010101040-1"
"1003","2010101041-9"
"1004","2010101042-7"
"1005","2010101043-5"
"1006","2010101044-3"
"1007","2010101045-0"
"1008","2010101046-8"
"1009","2010101048-4"
"1010","2010101049-2"
"1011","2010101050-0"
"1012","2010101051-8"
"1013","2010101052-6"
"1014","2010101053-4"
"1015","2010101055-9"
"1016","2010101056-7"
"1017","2010101057-5"
"1018","2010101058-3"
"1019","2010101059-1"
"1020","2010101060-9"
"1021","2010101061-7"
"1022","2010101062-5"
"1023","2010101064-1"
"1024","2010101065-8"
"1025","2010101066-6"
"1026","2010101067-4"
"1027","2010101068-2"
"1028","2010101069-0"
"1029","2010101070-8"
"1030","2010101071-6"
"1031","2010101072-4"
"1032","2010101073-2"
"1033","201010107323-5.DC"
"1034","2010101075-7"
"1035","2010101076-5"
"1036","2010101077-3"
"1037","2010101078-1"
"1038","2010101079-9"
"1039","2010101080-7"
"1040","2010101082-3"
"1041","2010101083-1"
"1042","2010101084-9"
"1043","2010101085-6"
