FileName,TID,Folder,Option
2020100286-0,2020100286-0,1st Batch\Dhanmondi_TBSTC,
2020100287-8,2020100287-8,1st Batch\Dhanmondi_TBSTC,
2020100288-6,2020100288-6,1st Batch\Dhanmondi_TBSTC,
2020100289-4,2020100289-4,1st Batch\Dhanmondi_TBSTC,
2020100290-2,2020100290-2,1st Batch\Dhanmondi_TBSTC,
2020100291-0,2020100291-0,1st Batch\Dhanmondi_TBSTC,
2020100293-6,2020100293-6,1st Batch\Dhanmondi_TBSTC,
2020100294-4,2020100294-4,1st Batch\Dhanmondi_TBSTC,
2020100295-1,2020100295-1,1st Batch\Dhanmondi_TBSTC,
2020100296-9,2020100296-9,1st Batch\Dhanmondi_TBSTC,
2020100297-7,2020100297-7,1st Batch\Dhanmondi_TBSTC,
2020100299-3,2020100299-3,1st Batch\Dhanmondi_TBSTC,
2020100300-9,2020100300-9,1st Batch\Dhanmondi_TBSTC,
2020100301-7,2020100301-7,1st Batch\Dhanmondi_TBSTC,
2020100306-6,2020100306-6,1st Batch\Dhanmondi_TBSTC,
2020100308-2,2020100308-2,1st Batch\Dhanmondi_TBSTC,
2020100309-0,2020100309-0,1st Batch\Dhanmondi_TBSTC,
2020100310-8,2020100310-8,1st Batch\Dhanmondi_TBSTC,
2020100311-6,2020100311-6,1st Batch\Dhanmondi_TBSTC,
2020100312-4,2020100312-4,1st Batch\Dhanmondi_TBSTC,
2020100313-2,2020100313-2,1st Batch\Dhanmondi_TBSTC,
2020100315-7,2020100315-7,1st Batch\Dhanmondi_TBSTC,
2020100316-5,2020100316-5,1st Batch\Dhanmondi_TBSTC,
2020100317-3,2020100317-3,1st Batch\Dhanmondi_TBSTC,
2020100318-1,2020100318-1,1st Batch\Dhanmondi_TBSTC,
2020100319-9,2020100319-9,1st Batch\Dhanmondi_TBSTC,
2020100320-7,2020100320-7,1st Batch\Dhanmondi_TBSTC,
2020100321-5,2020100321-5,1st Batch\Dhanmondi_TBSTC,
2020100323-1,2020100323-1,1st Batch\Dhanmondi_TBSTC,
2020100324-9,2020100324-9,1st Batch\Dhanmondi_TBSTC,
2020100325-6,2020100325-6,1st Batch\Dhanmondi_TBSTC,
2020100326-4,2020100326-4,1st Batch\Dhanmondi_TBSTC,
2020100327-2,2020100327-2,1st Batch\Dhanmondi_TBSTC,
2020100328-0,2020100328-0,1st Batch\Dhanmondi_TBSTC,
2020100329-8,2020100329-8,1st Batch\Dhanmondi_TBSTC,
2020100331-4,2020100331-4,1st Batch\Dhanmondi_TBSTC,
2020100333-0,2020100333-0,1st Batch\Dhanmondi_TBSTC,
2020100334-8,2020100334-8,1st Batch\Dhanmondi_TBSTC,
2020100335-5,2020100335-5,1st Batch\Dhanmondi_TBSTC,
2020100336-3,2020100336-3,1st Batch\Dhanmondi_TBSTC,
2020100337-1,2020100337-1,1st Batch\Dhanmondi_TBSTC,
2020100338-9,2020100338-9,1st Batch\Dhanmondi_TBSTC,
2020100339-7,2020100339-7,1st Batch\Dhanmondi_TBSTC,
2020100340-5,2020100340-5,1st Batch\Dhanmondi_TBSTC,
2020100341-3,2020100341-3,1st Batch\Dhanmondi_TBSTC,
2020100342-1,2020100342-1,1st Batch\Dhanmondi_TBSTC,
2020100343-9,2020100343-9,1st Batch\Dhanmondi_TBSTC,
2020100344-7,2020100344-7,1st Batch\Dhanmondi_TBSTC,
2020100345-4,2020100345-4,1st Batch\Dhanmondi_TBSTC,
2020100346-2,2020100346-2,1st Batch\Dhanmondi_TBSTC,
2020100348-8,2020100348-8,1st Batch\Dhanmondi_TBSTC,
2020100349-6,2020100349-6,1st Batch\Dhanmondi_TBSTC,
2020100350-4,2020100350-4,1st Batch\Dhanmondi_TBSTC,
2020100351-2,2020100351-2,1st Batch\Dhanmondi_TBSTC,
2020100352-0,2020100352-0,1st Batch\Dhanmondi_TBSTC,
2020100353-8,2020100353-8,1st Batch\Dhanmondi_TBSTC,
2020100354-6,2020100354-6,1st Batch\Dhanmondi_TBSTC,
2020100355-3,2020100355-3,1st Batch\Dhanmondi_TBSTC,
2020100356-1,2020100356-1,1st Batch\Dhanmondi_TBSTC,
2020100357-9,2020100357-9,1st Batch\Dhanmondi_TBSTC,
2020100358-7,2020100358-7,1st Batch\Dhanmondi_TBSTC,
2020100359-5,2020100359-5,1st Batch\Dhanmondi_TBSTC,
2020100360-3,2020100360-3,1st Batch\Dhanmondi_TBSTC,
2020100361-1,2020100361-1,1st Batch\Dhanmondi_TBSTC,
2020100362-9,2020100362-9,1st Batch\Dhanmondi_TBSTC,
2020100364-5,2020100364-5,1st Batch\Dhanmondi_TBSTC,
2020100365-2,2020100365-2,1st Batch\Dhanmondi_TBSTC,
