"","Country","DeepLearningSystem","Score","%XpertSaved","accuracy","Sens","Sens_L","Sens_H","Spec","ppv","Spec_L","Spec_H","PPV_L","PPV_H","npv","NPV_L","NPV_H","Sensitivity","Specificity","PPV","NPV","X","Comment"
"71","Bangladesh","CAD4TB",70,0.6456,0.735924,0.796286,0.782871,0.809227,0.725072,0.342414,0.718885,0.731196,0.332333,0.352604,0.951917,0.948433,0.955231,"0.7963(0.78-0.81)","0.7251(0.72-0.73)","0.3424(0.33-0.35)","0.9519(0.95-0.96)",0.274928,""
"72","Bangladesh","CAD4TB",71,0.6605,0.744996,0.777171,0.763338,0.79056,0.739212,0.34886,0.733123,0.745231,0.338512,0.359316,0.948592,0.945042,0.951976,"0.7772(0.76-0.79)","0.7392(0.73-0.75)","0.3489(0.34-0.36)","0.9486(0.95-0.95)",0.260788,"2/3 Xpert Saved"
"73","Bangladesh","CAD4TB",72,0.6748,0.753693,0.758875,0.74468,0.772655,0.752762,0.355598,0.746777,0.758674,0.344977,0.366328,0.945548,0.941944,0.948991,"0.7589(0.74-0.77)","0.7528(0.75-0.76)","0.3556(0.34-0.37)","0.9455(0.94-0.95)",0.247238,""
"74","Bangladesh","CAD4TB",73,0.6904,0.762057,0.735117,0.720505,0.749354,0.766901,0.361828,0.761032,0.772693,0.350898,0.372867,0.941535,0.937856,0.945057,"0.7351(0.72-0.75)","0.7669(0.76-0.77)","0.3618(0.35-0.37)","0.9415(0.94-0.95)",0.233099,""
"75","Bangladesh","CAD4TB",74,0.7055,0.770005,0.711633,0.69666,0.726268,0.7805,0.368235,0.774751,0.786168,0.356983,0.379596,0.937714,0.933971,0.941306,"0.7116(0.7-0.73)","0.7805(0.77-0.79)","0.3682(0.36-0.38)","0.9377(0.93-0.94)",0.2195,""
"76","Bangladesh","CAD4TB",75,0.7211,0.778037,0.686783,0.67148,0.701788,0.794443,0.375261,0.788827,0.799974,0.363651,0.38698,0.93381,0.930007,0.937468,"0.6868(0.67-0.7)","0.7944(0.79-0.8)","0.3753(0.36-0.39)","0.9338(0.93-0.94)",0.205557,""
"77","Bangladesh","CAD4TB",76,0.7369,0.78482,0.657291,0.641662,0.672669,0.807747,0.380674,0.802267,0.813139,0.368684,0.392774,0.929128,0.925249,0.932865,"0.6573(0.64-0.67)","0.8077(0.8-0.81)","0.3807(0.37-0.39)","0.9291(0.93-0.93)",0.192253,""
"78","Bangladesh","CAD4TB",77,0.7518,0.791186,0.629164,0.613285,0.644837,0.820315,0.386318,0.814973,0.825566,0.373935,0.398812,0.924835,0.920894,0.928639,"0.6292(0.61-0.64)","0.8203(0.81-0.83)","0.3863(0.37-0.4)","0.9248(0.92-0.93)",0.179685,"3/4 Xpert Saved"
"79","Bangladesh","CAD4TB",78,0.7656,0.796846,0.602403,0.586339,0.618303,0.831803,0.39169,0.826595,0.836917,0.378912,0.404581,0.920865,0.916871,0.924726,"0.6024(0.59-0.62)","0.8318(0.83-0.84)","0.3917(0.38-0.4)","0.9209(0.92-0.92)",0.168197,""
"80","Bangladesh","CAD4TB",79,0.7798,0.802131,0.573184,0.556975,0.589277,0.843291,0.396711,0.838226,0.848259,0.383495,0.410042,0.916596,0.912545,0.920516,"0.5732(0.56-0.59)","0.8433(0.84-0.85)","0.3967(0.38-0.41)","0.9166(0.91-0.92)",0.156709,""
"81","Bangladesh","CAD4TB",80,0.7935,0.805293,0.538777,0.522469,0.555022,0.853208,0.397542,0.848273,0.858042,0.383889,0.411315,0.911422,0.9073,0.915418,"0.5388(0.52-0.56)","0.8532(0.85-0.86)","0.3975(0.38-0.41)","0.9114(0.91-0.92)",0.146792,""
"82","Bangladesh","CAD4TB",81,0.8072,0.808955,0.505735,0.489406,0.522054,0.863469,0.399741,0.858677,0.868157,0.385595,0.414014,0.906691,0.902511,0.910749,"0.5057(0.49-0.52)","0.8635(0.86-0.87)","0.3997(0.39-0.41)","0.9067(0.9-0.91)",0.136531,""
"83","Bangladesh","CAD4TB",82,0.8198,0.813907,0.480612,0.464314,0.49694,0.873828,0.406467,0.86919,0.878359,0.391788,0.421271,0.903457,0.899248,0.907546,"0.4806(0.46-0.5)","0.8738(0.87-0.88)","0.4065(0.39-0.42)","0.9035(0.9-0.91)",0.126172,""
"84","Bangladesh","CAD4TB",83,0.8337,0.817902,0.448116,0.431919,0.464395,0.884383,0.410661,0.879912,0.888744,0.395352,0.4261,0.899127,0.894873,0.903264,"0.4481(0.43-0.46)","0.8844(0.88-0.89)","0.4107(0.4-0.43)","0.8991(0.89-0.9)",0.115617,""
"85","Bangladesh","CAD4TB",84,0.848,0.822146,0.415074,0.399051,0.431232,0.895331,0.41621,0.891046,0.899503,0.400159,0.432396,0.894892,0.8906,0.899071,"0.4151(0.4-0.43)","0.8953(0.89-0.9)","0.4162(0.4-0.43)","0.8949(0.89-0.9)",0.104669,""
"86","Bangladesh","CAD4TB",85,0.8613,0.824893,0.380666,0.364904,0.396619,0.904757,0.418116,0.900643,0.908755,0.401301,0.435075,0.890419,0.886084,0.894644,"0.3807(0.36-0.4)","0.9048(0.9-0.91)","0.4181(0.4-0.44)","0.8904(0.89-0.89)",0.095243,"Radiologists' specificity = 0.89(0.886-0.894)"
"87","Bangladesh","CAD4TB",86,0.8721,0.82714,0.35254,0.337052,0.368263,0.912465,0.419974,0.9085,0.916312,0.402447,0.437653,0.886864,0.882497,0.891122,"0.3525(0.34-0.37)","0.9125(0.91-0.92)","0.42(0.4-0.44)","0.8869(0.88-0.89)",0.087535,""
"88","Bangladesh","CAD4TB",87,0.8839,0.829553,0.321682,0.306564,0.337086,0.92086,0.422222,0.917068,0.924532,0.403805,0.440802,0.883056,0.878659,0.887349,"0.3217(0.31-0.34)","0.9209(0.92-0.92)","0.4222(0.4-0.44)","0.8831(0.88-0.89)",0.07914,""
"89","Bangladesh","CAD4TB",88,0.8945,0.830261,0.289186,0.274538,0.304171,0.927537,0.417751,0.923891,0.931061,0.39846,0.437233,0.878908,0.874472,0.883241,"0.2892(0.27-0.3)","0.9275(0.92-0.93)","0.4178(0.4-0.44)","0.8789(0.87-0.88)",0.0724630000000001,""
