"Country","DeepLearningSystem","Score","%XpertSaved","accuracy","Sens","Sensitivity","Specificity","PPV","NPV","X","Comment"
"Bangladesh","JF2",0.29,0.4569,0.5893,0.9345,"0.9345(0.93-0.94)","0.5273(0.52-0.53)","0.2622(0.25-0.27)","0.9781(0.98-0.98)",0.4727,""
"Bangladesh","JF2",0.3,0.4606,0.5927,0.9334,"0.9334(0.92-0.94)","0.5314(0.52-0.54)","0.2637(0.26-0.27)","0.978(0.98-0.98)",0.4686,""
"Bangladesh","JF2",0.31,0.4647,0.5965,0.9323,"0.9323(0.92-0.94)","0.5361(0.53-0.54)","0.2654(0.26-0.27)","0.9778(0.97-0.98)",0.4639,""
"Bangladesh","JF2",0.32,0.468,0.5994,0.9312,"0.9312(0.92-0.94)","0.5398(0.53-0.55)","0.2667(0.26-0.27)","0.9776(0.97-0.98)",0.4602,""
"Bangladesh","JF2",0.33,0.4716,0.6023,0.929,"0.929(0.92-0.94)","0.5436(0.54-0.55)","0.2679(0.26-0.28)","0.9771(0.97-0.98)",0.4564,""
"Bangladesh","JF2",0.34,0.4751,0.6051,0.9265,"0.9265(0.92-0.93)","0.5473(0.54-0.55)","0.269(0.26-0.28)","0.9764(0.97-0.98)",0.4527,""
"Bangladesh","JF2",0.35,0.4791,0.6084,0.9244,"0.9244(0.92-0.93)","0.5516(0.54-0.56)","0.2704(0.26-0.28)","0.9759(0.97-0.98)",0.4484,""
"Bangladesh","JF2",0.36,0.4827,0.6117,0.9233,"0.9233(0.91-0.93)","0.5557(0.55-0.56)","0.272(0.26-0.28)","0.9758(0.97-0.98)",0.4443,""
"Bangladesh","JF2",0.37,0.4859,0.6143,0.9214,"0.9214(0.91-0.93)","0.5591(0.55-0.57)","0.2731(0.27-0.28)","0.9753(0.97-0.98)",0.4409,""
"Bangladesh","JF2",0.38,0.4893,0.6172,0.9197,"0.9197(0.91-0.93)","0.5628(0.56-0.57)","0.2744(0.27-0.28)","0.975(0.97-0.98)",0.4372,""
"Bangladesh","JF2",0.39,0.4927,0.6199,0.9173,"0.9173(0.91-0.93)","0.5664(0.56-0.57)","0.2755(0.27-0.28)","0.9744(0.97-0.98)",0.4336,""
"Bangladesh","JF2",0.4,0.4965,0.6232,0.9159,"0.9159(0.91-0.92)","0.5706(0.56-0.58)","0.2772(0.27-0.29)","0.9742(0.97-0.98)",0.4294,""
